"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Kobe Brown","Lac","F","25.1","20","8","14.9","11.3","4","0.75","31","0.613","16","0.25","0.532","0.543","2.7","2.3","0.7","0.2","0.2","0.3","4.9","3.4","5.6","8.2","117.3","103.6"
"","Drew Peterson","Bos","F","25.2","13","9","11.9","17","7","0.857","6","0.667","18","0.389","0.604","0.646","2.7","2","0.6","0.2","0.2","0.4","4.7","3.3","5.3","6.6","123.7","102.5"
"","Nate Williams","Hou","G","26","6","3.5","19.7","10","0","0","5","1","4","0.5","0.889","0.889","2.7","0.5","0.2","0.3","0.2","0.2","3.2","2.8","3.3","7.4","0","0"
"","John Konchar","Mem","G","28.9","27","13.7","8.4","13.3","6","0.833","20","0.65","45","0.311","0.523","0.54","2.7","3.9","1.1","0.5","0.4","0.4","6.6","3.8","7.7","6.6","122.1","106.5"
"","Josh Minott","Min","F","22.2","31","7","16.1","9.3","11","0.818","39","0.641","29","0.241","0.522","0.549","2.6","1.1","0.4","0.4","0.3","0.2","3.6","3","4.1","6","111.9","100"
"","Pat Spencer","Gol","G","28.6","19","7.2","20.5","17.7","12","0.667","40","0.45","11","0.182","0.412","0.444","2.6","1.4","1.6","0.4","0.1","0.6","4.1","4.3","5.7","10","102.7","107.4"
"","Jalen Pickett","Den","G","25.3","21","8.4","13.5","12.4","1","1","24","0.5","25","0.4","0.551","0.556","2.6","0.9","1.5","0.2","0","0.3","3.5","4.1","5","7.2","120.7","114"
"","E.J. Liddell","Chi","F","24.1","6","5.1","15","19.2","2","1","2","1","6","0.5","0.813","0.845","2.5","0.8","0.5","0.2","0","0.3","3.3","3","3.8","7.8","138.3","92.8"
"","Dominick Barlow","Atl","F","21.7","14","7.1","15.4","0","8","0.5","25","0.44","9","0.333","0.456","0.466","2.5","1.4","0.2","0.2","0.4","0","3.9","2.7","4.1","5","103.8","111"
"","Rayan Rupert","Por","G-F","20.7","35","7.9","15.6","17","18","0.722","43","0.512","35","0.286","0.474","0.506","2.5","1.1","0.5","0.2","0.1","0.5","3.6","2.9","4.1","5.6","102","115.5"
"","Karlo Matkovic","Nor","F-C","23.9","13","11.3","11.8","25.4","5","1","21","0.429","8","0.375","0.466","0.513","2.5","3.4","0.7","0.5","0.8","0.8","5.8","3.2","6.5","6.4","101.5","106.1"
"","Delon Wright","Mil","G","32.8","26","15.6","11.1","14.5","16","0.563","33","0.303","49","0.245","0.341","0.365","2.5","1.8","1.8","0.9","0.3","0.5","4.3","4.3","6.1","5.1","94.3","112.3"
"","Reece Beekman","Bro","G","23.3","18","11.8","13","16.9","9","0.556","31","0.419","18","0.222","0.388","0.406","2.4","0.8","1.7","0.7","0.1","0.6","3.2","4.1","4.8","5","93.9","115.9"
"","Taj Gibson","Cha","F","39.6","20","10.8","12.6","21.9","12","0.583","44","0.432","2","0.5","0.446","0.468","2.4","3.4","0.6","0.3","0.5","0.7","5.8","3","6.4","6.3","99.7","102.2"
"","Trey Jemison","Nor","C","25.2","16","10.4","13","23.7","21","0.381","32","0.469","0","0","0.469","0.461","2.4","2.8","0.6","0.4","0.4","0.6","5.1","3","5.8","6.1","99.2","105.4"
"","Johnny Davis","Was","G","22.9","34","7.1","15.8","8.2","15","0.6","49","0.51","29","0.241","0.455","0.473","2.4","1.1","0.3","0.4","0.2","0.2","3.5","2.7","3.8","5.2","98.3","115"
"","Duop Reath","Por","C","28.6","25","5.3","18.5","7.4","10","0.8","15","0.533","35","0.314","0.49","0.524","2.3","0.9","0.2","0","0.1","0.2","3.2","2.5","3.4","5.6","112.6","111.2"
"","Lester Quinones","Phi","G","24.2","4","4.3","32.3","32.2","1","1","5","0.8","3","0","0.5","0.533","2.3","1","0.3","0","0","1","3.3","2.5","3.5","8.2","84.1","124.1"
"","Vlatko Cancar","Den","F","27.8","4","8.6","11","22.2","0","0","5","0.6","2","0.5","0.643","0.643","2.3","2","0","0","0.3","0.5","4.3","2.3","4.3","0","106.5","108"
"","Dillon Jones","Okc","F","23.3","30","9.1","14.4","15.2","17","0.588","33","0.515","39","0.179","0.382","0.409","2.2","2.1","0.9","0.2","0.1","0.4","4.3","3.1","5.2","7.1","97.2","98.7"
"","Collin Gillespie","Pho","G","25.6","6","4","16.9","0","5","0.8","5","0.6","2","0.5","0.643","0.707","2.2","0.8","0.5","0","0.2","0","3","2.7","3.5","9.6","160.4","109"
